20;Real Betis;Real Sociedad
20;Eibar;Atletico de Madrid
20;Leganes;Getafe
20;Levante;Alaves
20;Mallorca;Valencia
20;Osasuna;Valladolid
20;Real Madrid;Sevilla
20;Villarreal;Espanyol
21;Alaves;Villarreal
21;Atletico de Madrid;Leganes
21;Celta de Vigo;Eibar
21;Espanyol;Athletic Bilbao
21;Getafe;Real Betis
21;Osasuna;Levante
21;Real Sociedad;Mallorca
21;Sevilla;Granada
21;Valencia;Barcelona
21;Valladolid;Real Madrid
22;Athletic Bilbao;Getafe
22;Barcelona;Levante
22;Eibar;Real Betis
22;Granada;Espanyol
22;Leganes;Real Sociedad
22;Mallorca;Valladolid
22;Real Madrid;Atletico de Madrid
22;Sevilla;Alaves
22;Valencia;Celta de Vigo
22;Villarreal;Osasuna
23;Alaves;Eibar
23;Atletico de Madrid;Granada
23;Real Betis;Barcelona
23;Celta de Vigo;Sevilla
23;Espanyol;Mallorca
23;Getafe;Valencia
23;Levante;Leganes
23;Osasuna;Real Madrid
23;Real Sociedad;Athletic Bilbao
23;Valladolid;Villarreal
24;Athletic Bilbao;Osasuna
24;Barcelona;Getafe
24;Eibar;Real Sociedad
24;Granada;Valladolid
24;Leganes;Real Betis
24;Mallorca;Alaves
24;Real Madrid;Celta de Vigo
24;Sevilla;Espanyol
24;Valencia;Atletico de Madrid
24;Villarreal;Levante
25;Alaves;Athletic Bilbao
25;Atletico de Madrid;Villarreal
25;Barcelona;Eibar
25;Real Betis;Mallorca
25;Celta de Vigo;Leganes
25;Getafe;Sevilla
25;Levante;Real Madrid
25;Osasuna;Granada
25;Real Sociedad;Valencia
25;Valladolid;Espanyol
26;Athletic Bilbao;Villarreal
26;Eibar;Levante
26;Espanyol;Atletico de Madrid
26;Granada;Celta de Vigo
26;Leganes;Alaves
26;Mallorca;Getafe
26;Real Madrid;Barcelona
26;Real Sociedad;Valladolid
26;Sevilla;Osasuna
26;Valencia;Real Betis
27;Alaves;Valencia
27;Atletico de Madrid;Sevilla
27;Barcelona;Real Sociedad
27;Real Betis;Real Madrid
27;Eibar;Mallorca
27;Getafe;Celta de Vigo
27;Levante;Granada
27;Osasuna;Espanyol
27;Villarreal;Leganes
27;Valladolid;Athletic Bilbao
28;Athletic Bilbao;Atletico de Madrid
28;Celta de Vigo;Villarreal
28;Espanyol;Alaves
28;Granada;Getafe
28;Leganes;Valladolid
28;Mallorca;Barcelona
28;Real Madrid;Eibar
28;Real Sociedad;Osasuna
28;Sevilla;Real Betis
28;Valencia;Levante
29;Alaves;Real Sociedad
29;Barcelona;Leganes
29;Real Betis;Granada
29;Eibar;Athletic Bilbao
29;Getafe;Espanyol
29;Levante;Sevilla
29;Osasuna;Atletico de Madrid
29;Real Madrid;Valencia
29;Villarreal;Mallorca
29;Valladolid;Celta de Vigo
30;Athletic Bilbao;Real Betis
30;Atletico de Madrid;Valladolid
30;Celta de Vigo;Alaves
30;Espanyol;Levante
30;Getafe;Eibar
30;Granada;Villarreal
30;Mallorca;Leganes
30;Real Sociedad;Real Madrid
30;Sevilla;Barcelona
30;Valencia;Osasuna
31;Alaves;Osasuna
31;Barcelona;Athletic Bilbao
31;Real Betis;Espanyol
31;Eibar;Valencia
31;Leganes;Granada
31;Levante;Atletico de Madrid
31;Real Madrid;Mallorca
31;Real Sociedad;Celta de Vigo
31;Villarreal;Sevilla
31;Valladolid;Getafe
32;Athletic Bilbao;Mallorca
32;Atletico de Madrid;Alaves
32;Celta de Vigo;Barcelona
32;Espanyol;Real Madrid
32;Getafe;Real Sociedad
32;Granada;Eibar
32;Levante;Real Betis
32;Osasuna;Leganes
32;Sevilla;Valladolid
32;Villarreal;Valencia
33;Alaves;Granada
33;Barcelona;Atletico de Madrid
33;Real Betis;Villarreal
33;Eibar;Osasuna
33;Leganes;Sevilla
33;Mallorca;Celta de Vigo
33;Real Madrid;Getafe
33;Real Sociedad;Espanyol
33;Valencia;Athletic Bilbao
33;Valladolid;Levante
34;Athletic Bilbao;Real Madrid
34;Atletico de Madrid;Mallorca
34;Celta de Vigo;Real Betis
34;Espanyol;Leganes
34;Granada;Valencia
34;Levante;Real Sociedad
34;Osasuna;Getafe
34;Sevilla;Eibar
34;Villarreal;Barcelona
34;Valladolid;Alaves
35;Athletic Bilbao;Sevilla
35;Barcelona;Espanyol
35;Real Betis;Osasuna
35;Celta de Vigo;Atletico de Madrid
35;Eibar;Leganes
35;Getafe;Villarreal
35;Mallorca;Levante
35;Real Madrid;Alaves
35;Real Sociedad;Granada
35;Valencia;Valladolid
36;Alaves;Getafe
36;Atletico de Madrid;Real Betis
36;Espanyol;Eibar
36;Granada;Real Madrid
36;Leganes;Valencia
36;Levante;Athletic Bilbao
36;Osasuna;Celta de Vigo
36;Sevilla;Mallorca
36;Villarreal;Real Sociedad
36;Valladolid;Barcelona
37;Athletic Bilbao;Leganes
37;Barcelona;Osasuna
37;Real Betis;Alaves
37;Celta de Vigo;Levante
37;Eibar;Valladolid
37;Getafe;Atletico de Madrid
37;Mallorca;Granada
37;Real Madrid;Villarreal
37;Real Sociedad;Sevilla
37;Valencia;Espanyol
38;Alaves;Barcelona
38;Atletico de Madrid;Real Sociedad
38;Espanyol;Celta de Vigo
38;Granada;Athletic Bilbao
38;Leganes;Real Madrid
38;Levante;Getafe
38;Osasuna;Mallorca
38;Sevilla;Valencia
38;Villarreal;Eibar
38;Valladolid;Real Betis
