16;Espanyol;Betis;1;3
16;Sevilla;Girona;2;0
16;Eibar;Valencia;1;1
16;Real Madrid;Rayo Vallecano;1;0
16;Valladolid;Atl. Madrid;2;3
16;Getafe;Real Sociedad;1;0
16;Celta Vigo;Leganes;0;0
17;Villarreal;Real Madrid;2;2
17;Rayo Vallecano;Levante;2;1
17;Leganes;Sevilla;1;1
17;Valencia;Huesca;2;1
17;Ath Bilbao;Valladolid;1;1
17;Barcelona;Celta Vigo;2;0
17;Atl. Madrid;Espanyol;1;0
17;Betis;Eibar;1;1
17;Real Sociedad;Alaves;0;1
17;Girona;Getafe;1;1
18;Celta Vigo;Ath Bilbao;1;2
18;Getafe;Barcelona;1;2
18;Real Madrid;Real Sociedad;0;2
18;Sevilla;Atl. Madrid;1;1
18;Eibar;Villarreal;0;0
18;Huesca;Betis;2;1
18;Alaves;Valencia;2;1
18;Valladolid;Rayo Vallecano;0;1
18;Espanyol;Leganes;1;0
18;Levante;Girona;2;2
19;Real Sociedad;Espanyol;3;2
19;Betis;Real Madrid;1;2
19;Barcelona;Eibar;3;0
19;Ath Bilbao;Sevilla;2;0
19;Atl. Madrid;Levante;1;0
19;Villarreal;Getafe;1;2
19;Girona;Alaves;1;1
19;Valencia;Valladolid;1;1
19;Leganes;Huesca;1;0
19;Rayo Vallecano;Celta Vigo;4;2
20;Eibar;Espanyol;3;0
20;Barcelona;Leganes;3;1
20;Levante;Valladolid;2;0
20;Rayo Vallecano;Real Sociedad;2;2
20;Villarreal;Ath Bilbao;1;1
20;Betis;Girona;3;2
20;Celta Vigo;Valencia;1;2
20;Huesca;Atl. Madrid;0;3
20;Real Madrid;Sevilla;2;0
20;Getafe;Alaves;4;0
21;Alaves;Rayo Vallecano;0;1
21;Espanyol;Real Madrid;2;4
21;Ath Bilbao;Betis;1;0
21;Real Sociedad;Huesca;0;0
21;Girona;Barcelona;0;2
21;Valladolid;Celta Vigo;2;1
21;Valencia;Villarreal;3;0
21;Leganes;Eibar;2;2
21;Atl. Madrid;Getafe;2;0
21;Sevilla;Levante;5;0
22;Rayo Vallecano;Leganes;1;2
22;Real Madrid;Alaves;3;0
22;Eibar;Girona;3;0
22;Betis;Atl. Madrid;1;0
22;Villarreal;Espanyol;2;2
22;Celta Vigo;Sevilla;1;0
22;Barcelona;Valencia;2;2
22;Real Sociedad;Ath Bilbao;2;1
22;Levante;Getafe;0;0
22;Huesca;Valladolid;4;0
23;Alaves;Levante;2;0
23;Ath Bilbao;Barcelona;0;0
23;Sevilla;Eibar;2;2
23;Valencia;Real Sociedad;0;0
23;Leganes;Betis;3;0
23;Girona;Huesca;0;2
23;Espanyol;Rayo Vallecano;2;1
23;Atl. Madrid;Real Madrid;1;3
23;Getafe;Celta Vigo;3;1
23;Valladolid;Villarreal;0;0
24;Huesca;Ath Bilbao;0;1
24;Betis;Alaves;1;1
24;Villarreal;Sevilla;3;0
24;Valencia;Espanyol;0;0
24;Real Madrid;Girona;1;2
24;Barcelona;Valladolid;1;0
24;Real Sociedad;Leganes;3;0
24;Rayo Vallecano;Atl. Madrid;0;1
24;Celta Vigo;Levante;1;4
24;Eibar;Getafe;2;2
25;Girona;Real Sociedad;0;0
25;Levante;Real Madrid;1;2
25;Valladolid;Betis;0;2
25;Atl. Madrid;Villarreal;2;0
25;Leganes;Valencia;1;1
25;Ath Bilbao;Eibar;1;0
25;Alaves;Celta Vigo;0;0
25;Sevilla;Barcelona;2;4
25;Getafe;Rayo Vallecano;2;1
25;Espanyol;Huesca;1;1
